name,unicode,keywords,definition
squid,U+1F991,squid molusc food,Squid was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. Copy and paste this emoji: Copy ?? New in iOS 10.2 http://emojipedia.org/squid/
shrimp,U+1F990,small shrimp shellfish food,Shrimp was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. Copy and paste this emoji: Copy ?? New in iOS 10.2 http://emojipedia.org/shrimp/
lizard,U+1F98E,lizard reptile,"A small lizard, shown in green or brown colors, often from above. Lizard was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0  http://emojipedia.org/lizard/"
butterfly,U+1F98B,pretty insect butterfly,"A butterfly shown with wings spread. Commonly displayed as a monarch butterfly, with orange and black wings. Butterfly was approved as part  http://emojipedia.org/butterfly/"
fox face,U+1F98A,fox face,"A fox face, shown with pointy ears. At small sizes may be difficult to discern from the wolf face. Fox Face was approved as part of Unicode  http://emojipedia.org/fox-face/"
owl,U+1F989,wise owl bird,"An owl, shown facing forward, with two large eyes and a yellow beak. Owl was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0  http://emojipedia.org/owl/"
shark,U+1F988,shark fish,"A shark swimming in the ocean, often displayed with a blue or gray tone. Shark was approved as part of Unicode 9.0 in 2016 and added to Emoj http://emojipedia.org/shark/"
bat,U+1F987,bat vampire,"A black bat that enjoys the dark, shown spreading its wings. Bat was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. http://emojipedia.org/bat/"
duck,U+1F986,duck bird,"A bird that enjoys spending its time on water. Shown on most platforms as a mallard with brown, white and green colors. Samsung displays thi http://emojipedia.org/duck/"
eagle,U+1F985,eagle bird,"An eagle, soaring through the sky. Also the national embled for the United States. Eagle was approved as part of Unicode 9.0 in 2016 and add http://emojipedia.org/eagle/"
unicorn face,U+1F984,face unicorn,"A mythical creature generally depicted as a white horse, with a long horn. Unicorn Face was approved as part of Unicode 8.0 in 2015 and adde http://emojipedia.org/unicorn-face/"
scorpion,U+1F982,scorpio zodiac scorpius,A scorpion shown with eight legs and an upright rail. May also be used in relation to the zodiac sign Scorpius. Scorpion was approved as par http://emojipedia.org/scorpion/
lion face,U+1F981,lion face zodiac leo,"The face of a lion, often referred to as the king of the jungle. Displays with a cute, cartoon-style face in Apple's artwork that appears to http://emojipedia.org/lion-face/"
crab,U+1F980,cancer zodiac,"A crab, shown with claws. May be used in relation to the zodiac symbol for cancer. Crab was approved as part of Unicode 8.0 in 2015 and adde http://emojipedia.org/crab/"
pancakes,U+1F95E,pancake hotcake food crêpe,"A stack of pancakes, shown with maple syrup or other dressings. May be used in relation to Shrove Tuesday. Pancakes was approved as part of  http://emojipedia.org/pancakes/"
kiwi fruit,U+1F95D,fruit kiwi food,The kiwifruit emoji (also known as a Chinese gooseberry) is shown with brown skin and sliced open to show green flesh with black seeds on th http://emojipedia.org/kiwifruit/
peanuts,U+1F95C,vegetable peanut nut food,Peanuts was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. Copy and paste this emoji: Copy ?? New in iOS 10.2 http://emojipedia.org/peanuts/
glass of milk,U+1F95B,drink glass milk,Glass of Milk was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. Copy and paste this emoji: Copy ?? New in iOS 10.2 http://emojipedia.org/glass-of-milk/
egg,U+1F95A,egg food,"An egg, most commonly displayed as a chicken egg with a white or light brown shell. May be used in cooking. Egg was approved as part of Unic http://emojipedia.org/egg/"
stuffed flatbread,U+1F959,stuffed falafel gyro flatbread kebab food,"Flatbread containing items such as salad, sliced meat, or falafel. A fast food item popular throughout parts of the middle east. May come in http://emojipedia.org/stuffed-flatbread/"
shallow pan of food,U+1F958,shallow pan paella food casserole,"A pan of food which is most commonly associated with paella: a rice dish originating in Valencia, Spain. Shallow Pan of Food was approved as http://emojipedia.org/shallow-pan-of-food/"
green salad,U+1F957,salad green food,"A bowl of healthy salad, containing lettuce, tomato, and other salad items such as cucumber. Green Salad was approved as part of Unicode 9.0 http://emojipedia.org/green-salad/"
baguette bread,U+1F956,french bread baguette food,Baguette Bread was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016. Copy and paste this emoji: Copy ?? New in iOS 10. http://emojipedia.org/baguette-bread/
